Offset-Description                                                                   
0000 - Float             7FF4AE2BDA10 : 68.29986572    7FF4AFBE69F0 : 68.29986572    
0E94 - 4 Bytes           7FF4AE2BE8A4 : 2510618624     7FF4AFBE7884 : 1919248238     
0E98 - 4 Bytes           7FF4AE2BE8A8 : 396744335      7FF4AFBE7888 : 48             
0E9C - 4 Bytes           7FF4AE2BE8AC : 2514004807     7FF4AFBE788C : 0              
0EA0 - 4 Bytes           7FF4AE2BE8B0 : 2764790699     7FF4AFBE7890 : 1766219596     
0EA4 - 4 Bytes           7FF4AE2BE8B4 : 1852470034     7FF4AFBE7894 : 1919248238     
0EA8 - 4 Bytes           7FF4AE2BE8B8 : 920693353      7FF4AFBE7898 : 12592          
0EAC - Pointer           7FF4AE2BE8BC : P->DEC3237AC3657FF4AFBE789C : P->69465F4C00000000
0EB4 - Pointer           7FF4AE2BE8C4 : P->729EF66909FC7FF4AFBE78A4 : P->32307265676E
0EBC - Pointer           7FF4AE2BE8CC : P->8EE0000FFFF07FF4AFBE78AC : P->69465F4C00000000
0EC4 - 4 Bytes           7FF4AE2BE8D4 : 531692058      7FF4AFBE78B4 : 1919248238     
0EC8 - 4 Bytes           7FF4AE2BE8D8 : 4219471813     7FF4AFBE78B8 : 49             
0ECC - 4 Bytes           7FF4AE2BE8DC : 246495533      7FF4AFBE78BC : 0              
0ED0 - 4 Bytes           7FF4AE2BE8E0 : 1273885136     7FF4AFBE78C0 : 1766219596     
0ED4 - Pointer           7FF4AE2BE8E4 : P->4DA325BDA9  7FF4AFBE78C4 : P->31317265676E
0EDC - 4 Bytes           7FF4AE2BE8EC : 1055027343     7FF4AFBE78CC : 0              
0EE0 - 4 Bytes           7FF4AE2BE8F0 : 1054636957     7FF4AFBE78D0 : 1766219596     
0EE4 - 4 Bytes           7FF4AE2BE8F4 : 196630         7FF4AFBE78D4 : 1919248238     
0EE8 - 4 Bytes           7FF4AE2BE8F8 : 251658240      7FF4AFBE78D8 : 12849          
0EEC - 4 Bytes           7FF4AE2BE8FC : 505289231      7FF4AFBE78DC : 0              
0EF0 - 4 Bytes           7FF4AE2BE900 : 858991146      7FF4AFBE78E0 : 1766219596     
0EF4 - Pointer           7FF4AE2BE904 : P->6262564F4A4A7FF4AFBE78E4 : P->327265676E  
0EFC - 4 Bytes           7FF4AE2BE90C : 2021158767     7FF4AFBE78EC : 0              
0F00 - 4 Bytes           7FF4AE2BE910 : 1744402552     7FF4AFBE78F0 : 1766219596     
0F04 - 4 Bytes           7FF4AE2BE914 : 3979895444     7FF4AFBE78F4 : 1919248238     
0F08 - 4 Bytes           7FF4AE2BE918 : 945984423      7FF4AFBE78F8 : 12594          
0F0C - 4 Bytes           7FF4AE2BE91C : 1670576101     7FF4AFBE78FC : 0              
0F10 - 4 Bytes           7FF4AE2BE920 : 2442644024     7FF4AFBE7900 : 1766219596     
0F14 - 4 Bytes           7FF4AE2BE924 : 664549476      7FF4AFBE7904 : 1919248238     
0F18 - 4 Bytes           7FF4AE2BE928 : 1211654801     7FF4AFBE7908 : 12850          
0F1C - Pointer           7FF4AE2BE92C : P->588FC6FE385A7FF4AFBE790C : P->69465F4C00000000
0F24 - 4 Bytes           7FF4AE2BE934 : 2394345784     7FF4AFBE7914 : 1919248238     
0F28 - 4 Bytes           7FF4AE2BE938 : 3603839065     7FF4AFBE7918 : 51             
0F2C - 4 Bytes           7FF4AE2BE93C : 3510131853     7FF4AFBE791C : 0              
0F30 - 4 Bytes           7FF4AE2BE940 : 945720710      7FF4AFBE7920 : 1766219596     
0F34 - 4 Bytes           7FF4AE2BE944 : 1603098336     7FF4AFBE7924 : 1919248238     
0F38 - 4 Bytes           7FF4AE2BE948 : 2372330040     7FF4AFBE7928 : 12595          
0F3C - 4 Bytes           7FF4AE2BE94C : 653736030      7FF4AFBE792C : 0              
0F40 - 4 Bytes           7FF4AE2BE950 : 4281883023     7FF4AFBE7930 : 1766219596     
0F44 - 4 Bytes           7FF4AE2BE954 : 945328038      7FF4AFBE7934 : 1919248238     
0F48 - 4 Bytes           7FF4AE2BE958 : 1435539209     7FF4AFBE7938 : 12851          
0F4C - Pointer           7FF4AE2BE95C : P->7740384F92377FF4AFBE793C : P->69465F4C00000000
0F54 - 4 Bytes           7FF4AE2BE964 : 2537049492     7FF4AFBE7944 : 1919248238     
0F58 - 4 Bytes           7FF4AE2BE968 : 945263783      7FF4AFBE7948 : 52             
0F5C - 4 Bytes           7FF4AE2BE96C : 1620363250     7FF4AFBE794C : 0              
0F60 - 4 Bytes           7FF4AE2BE970 : 2494037816     7FF4AFBE7950 : 1766219596     
0F64 - 4 Bytes           7FF4AE2BE974 : 3623696482     7FF4AFBE7954 : 1919248238     
0F68 - 4 Bytes           7FF4AE2BE978 : 4181221780     7FF4AFBE7958 : 12596          
0F6C - 4 Bytes           7FF4AE2BE97C : 945919143      7FF4AFBE795C : 0              
0F70 - 4 Bytes           7FF4AE2BE980 : 1653893113     7FF4AFBE7960 : 1766219596     
0F74 - Pointer           7FF4AE2BE984 : P->3F72BC7C00007FF4AFBE7964 : P->32347265676E
0F7C - 4 Bytes           7FF4AE2BE98C : 196627         7FF4AFBE796C : 0              
0F80 - 4 Bytes           7FF4AE2BE990 : 268435456      7FF4AFBE7970 : 1750294348     
0F84 - 4 Bytes           7FF4AE2BE994 : 740629776      7FF4AFBE7974 : 1684825449     
0F88 - 4 Bytes           7FF4AE2BE998 : 1280064563     7FF4AFBE7978 : 12592          
0F8C - 4 Bytes           7FF4AE2BE99C : 1515870796     7FF4AFBE797C : 0              
0F90 - 4 Bytes           7FF4AE2BE9A0 : 2020568937     7FF4AFBE7980 : 1750294348     
0F94 - 4 Bytes           7FF4AE2BE9A4 : 3078125688     7FF4AFBE7984 : 1684825449     
0F98 - 4 Bytes           7FF4AE2BE9A8 : 763812173      7FF4AFBE7988 : 12848          
0F9C - Pointer           7FF4AE2BE9AC : P->D95DB72D85D97FF4AFBE798C : P->6F545F4C00000000
0FA4 - 4 Bytes           7FF4AE2BE9B4 : 3450809736     7FF4AFBE7994 : 812147570      
0FA8 - 4 Bytes           7FF4AE2BE9B8 : 2922114259     7FF4AFBE7998 : 2948496563     
0FAC - 4 Bytes           7FF4AE2BE9BC : 32756          7FF4AFBE799C : 32756          
0FB0 - 4 Bytes           7FF4AE2BE9C0 : 1116201848     7FF4AFBE79A0 : 1116201848     
0FB4 - Pointer           7FF4AE2BE9C4 : P->AE2BA9A000007FF4AFBE79A4 : P->AFBE37F000000001
0FBC - 4 Bytes           7FF4AE2BE9CC : 32756          7FF4AFBE79AC : 32756          
0FC0 - 4 Bytes           7FF4AE2BE9D0 : 1065353216     7FF4AFBE79B0 : 0              
0FC4 - 4 Bytes           7FF4AE2BE9D4 : 32513          7FF4AFBE79B4 : 32512          
0FC8 - 4 Bytes           7FF4AE2BE9D8 : 3212836864     7FF4AFBE79B8 : 3212836864     
0FCC - 4 Bytes           7FF4AE2BE9DC : 3212836864     7FF4AFBE79BC : 3212836864     
0FD0 - 4 Bytes           7FF4AE2BE9E0 : 3212836864     7FF4AFBE79C0 : 3212836864     
0FD4 - 4 Bytes           7FF4AE2BE9E4 : 3212836864     7FF4AFBE79C4 : 3212836864     
0FD8 - 4 Bytes           7FF4AE2BE9E8 : 3212836864     7FF4AFBE79C8 : 3212836864     
0FDC - Pointer           7FF4AE2BE9EC : P->BF800000BF807FF4AFBE79CC : P->BF800000BF800000
0FE4 - 4 Bytes           7FF4AE2BE9F4 : 3212836864     7FF4AFBE79D4 : 3212836864     
0FE8 - 4 Bytes           7FF4AE2BE9F8 : 0              7FF4AFBE79D8 : 0              
0FEC - 4 Bytes           7FF4AE2BE9FC : 0              7FF4AFBE79DC : 3              
0FF0 - 4 Bytes           7FF4AE2BEA00 : 3212836864     7FF4AFBE79E0 : 3212836864     
0FF4 - 4 Bytes           7FF4AE2BEA04 : 3212836864     7FF4AFBE79E4 : 3212836864     
0FF8 - 4 Bytes           7FF4AE2BEA08 : 3212836864     7FF4AFBE79E8 : 3212836864     
0FFC - 4 Bytes           7FF4AE2BEA0C : 3212836864     7FF4AFBE79EC : 3212836864     
